category_id,category_group,category_desc
52e81612bcbc57f1066b7a01,Food,Austrian Restaurant
4bf58dd8d48988d1df931735,Food,BBQ Joint
4bf58dd8d48988d179941735,Food,Bagel Shop
4bf58dd8d48988d16a941735,Food,Bakery
52e81612bcbc57f1066b7a02,Food,Belgian Restaurant
52e81612bcbc57f1066b79f1,Food,Bistro
4bf58dd8d48988d143941735,Food,Breakfast Spot
52e81612bcbc57f1066b7a0c,Food,Bubble Tea Shop
52e81612bcbc57f1066b79f4,Food,Buffet
4bf58dd8d48988d16c941735,Food,Burger Joint
4bf58dd8d48988d128941735,Food,Cafeteria
4bf58dd8d48988d16d941735,Food,Café
4bf58dd8d48988d17a941735,Food,Cajun / Creole Restaurant
4bf58dd8d48988d144941735,Food,Caribbean Restaurant
4bf58dd8d48988d154941735,Food,Cuban Restaurant
5293a7d53cf9994f4e043a45,Food,Caucasian Restaurant
4bf58dd8d48988d1e0931735,Food,Coffee Shop
52e81612bcbc57f1066b7a00,Food,Comfort Food Restaurant
52e81612bcbc57f1066b79f2,Food,Creperie
52f2ae52bcbc57f1066b8b81,Food,Czech Restaurant
4bf58dd8d48988d146941735,Food,Deli / Bodega
4bf58dd8d48988d1d0941735,Food,Dessert Shop
4bf58dd8d48988d1bc941735,Food,Cupcake Shop
512e7cae91d4cbb4e5efe0af,Food,Frozen Yogurt Shop
4bf58dd8d48988d1c9941735,Food,Ice Cream Shop
5744ccdfe4b0c0459246b4e2,Food,Pastry Shop
52e81612bcbc57f1066b7a0a,Food,Pie Shop
4bf58dd8d48988d147941735,Food,Diner
4bf58dd8d48988d148941735,Food,Donut Shop
4bf58dd8d48988d108941735,Food,Dumpling Restaurant
5744ccdfe4b0c0459246b4d0,Food,Dutch Restaurant
4bf58dd8d48988d109941735,Food,Eastern European Restaurant
52e928d0bcbc57f1066b7e97,Food,Belarusian Restaurant
58daa1558bbb0b01f18ec1ee,Food,Bosnian Restaurant
56aa371be4b08b9a8d5734f3,Food,Bulgarian Restaurant
52960bac3cf9994f4e043ac4,Food,Romanian Restaurant
52e928d0bcbc57f1066b7e98,Food,Tatar Restaurant
52e81612bcbc57f1066b7a05,Food,English Restaurant
4bf58dd8d48988d10b941735,Food,Falafel Restaurant
4bf58dd8d48988d16e941735,Food,Fast Food Restaurant
4edd64a0c7ddd24ca188df1a,Food,Fish & Chips Shop
52e81612bcbc57f1066b7a09,Food,Fondue Restaurant
4bf58dd8d48988d120951735,Food,Food Court
56aa371be4b08b9a8d57350b,Food,Food Stand
4bf58dd8d48988d1cb941735,Food,Food Truck
4bf58dd8d48988d10c941735,Food,French Restaurant
57558b36e4b065ecebd306b6,Food,Alsatian Restaurant
57558b36e4b065ecebd306b8,Food,Auvergne Restaurant
57558b36e4b065ecebd306bc,Food,Basque Restaurant
57558b36e4b065ecebd306b0,Food,Brasserie
57558b36e4b065ecebd306c5,Food,Breton Restaurant
57558b36e4b065ecebd306c0,Food,Burgundian Restaurant
57558b36e4b065ecebd306cb,Food,Catalan Restaurant
57558b36e4b065ecebd306ce,Food,Ch'ti Restaurant
57558b36e4b065ecebd306d1,Food,Corsican Restaurant
57558b36e4b065ecebd306b4,Food,Estaminet
57558b36e4b065ecebd306b2,Food,Labour Canteen
57558b35e4b065ecebd306ad,Food,Lyonese Bouchon
57558b36e4b065ecebd306d4,Food,Norman Restaurant
57558b36e4b065ecebd306d7,Food,Provençal Restaurant
57558b36e4b065ecebd306da,Food,Savoyard Restaurant
57558b36e4b065ecebd306ba,Food,Southwestern French Restaurant
4d4ae6fc7a7b7dea34424761,Food,Fried Chicken Joint
55d25775498e9f6a0816a37a,Food,Friterie
4bf58dd8d48988d155941735,Food,Gastropub
4bf58dd8d48988d10d941735,Food,German Restaurant
56aa371ce4b08b9a8d573583,Food,Apple Wine Pub
56aa371ce4b08b9a8d573572,Food,Bavarian Restaurant
56aa371ce4b08b9a8d57358e,Food,Bratwurst Joint
56aa371ce4b08b9a8d57358b,Food,Currywurst Joint
56aa371ce4b08b9a8d573574,Food,Franconian Restaurant
56aa371ce4b08b9a8d573592,Food,German Pop-Up Restaurant
56aa371ce4b08b9a8d573578,Food,Palatine Restaurant
56aa371ce4b08b9a8d57357b,Food,Rhenisch Restaurant
56aa371ce4b08b9a8d573587,Food,Schnitzel Restaurant
56aa371ce4b08b9a8d57357f,Food,Silesian Restaurant
56aa371ce4b08b9a8d573576,Food,Swabian Restaurant
4c2cd86ed066bed06c3c5209,Food,Gluten-free Restaurant
4bf58dd8d48988d10e941735,Food,Greek Restaurant
53d6c1b0e4b02351e88a83e8,Food,Bougatsa Shop
53d6c1b0e4b02351e88a83e2,Food,Cretan Restaurant
53d6c1b0e4b02351e88a83d8,Food,Fish Taverna
53d6c1b0e4b02351e88a83d6,Food,Grilled Meat Restaurant
53d6c1b0e4b02351e88a83e6,Food,Kafenio
53d6c1b0e4b02351e88a83e4,Food,Magirio
53d6c1b0e4b02351e88a83da,Food,Meze Restaurant
53d6c1b0e4b02351e88a83d4,Food,Modern Greek Restaurant
53d6c1b0e4b02351e88a83dc,Food,Ouzeri
53d6c1b0e4b02351e88a83e0,Food,Patsa Restaurant
52e81612bcbc57f1066b79f3,Food,Souvlaki Shop
53d6c1b0e4b02351e88a83d2,Food,Taverna
53d6c1b0e4b02351e88a83de,Food,Tsipouro Restaurant
52e81612bcbc57f1066b79ff,Food,Halal Restaurant
52e81612bcbc57f1066b79fe,Food,Hawaiian Restaurant
5bae9231bedf3950379f89d4,Food,Poke Place
4bf58dd8d48988d16f941735,Food,Hot Dog Joint
52e81612bcbc57f1066b79fa,Food,Hungarian Restaurant
4bf58dd8d48988d10f941735,Food,Indian Restaurant
54135bf5e4b08f3d2429dfe5,Food,Andhra Restaurant
54135bf5e4b08f3d2429dff3,Food,Awadhi Restaurant
54135bf5e4b08f3d2429dff5,Food,Bengali Restaurant
54135bf5e4b08f3d2429dfe2,Food,Chaat Place
54135bf5e4b08f3d2429dff2,Food,Chettinad Restaurant
54135bf5e4b08f3d2429dfe1,Food,Dhaba
